Prow Job	Variants	Extended Variants
periodic-ci-openshift-release-master-nightly-4.20-e2e-osd-ccs-gcp	openshift-dedicated-gcp-conformance	ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-agent-compact-fips	agent-compact-ipv4	ha,parallel
periodic-ci-openshift-release-master-ci-4.20-upgrade-from-stable-4.19-e2e-gcp-ovn-rt-upgrade	aggregated-gcp-ovn-rt-upgrade-4.20-minor	upgrade-minor,ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-azure-csi	azure-csi	ha,parallel,csi
periodic-ci-openshift-release-master-ci-4.20-e2e-gcp-ovn	gcp-ovn	ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-vsphere-ovn-techpreview	vsphere-ovn-techpreview	ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-aws-ovn-upi	aws-upi	ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-metal-ipi-ovn-dualstack-techpreview	metal-ipi-ovn-dualstack-techpreview	ha,parallel
periodic-ci-openshift-osde2e-main-nightly-4.20-osd-aws	openshift-dedicated-aws	ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-overall-analysis-all	overall-analysis-all	ha,parallel
periodic-ci-openshift-release-master-ci-4.20-upgrade-from-stable-4.19-e2e-aws-ovn-upgrade	upgrade-minor-ovn	upgrade-minor,ha,parallel
periodic-ci-openshift-release-master-ci-4.20-e2e-vsphere-ovn-upgrade	vsphere-ovn-upgrade-micro	upgrade-micro,ha,parallel
periodic-ci-openshift-hypershift-release-4.20-periodics-e2e-aws-ovn-conformance	aggregated-hypershift-ovn-conformance-4.20	ha,parallel
periodic-ci-openshift-cluster-control-plane-machine-set-operator-release-4.20-periodics-e2e-aws	aws-control-plane-machine-set-operator	ha,parallel
periodic-ci-openshift-release-master-nightly-4.20-e2e-aws-ovn-single-node	aws-ovn-single-node	single-node,parallel
periodic-ci-openshift-release-master-ci-4.20-e2e-azure-ovn	azure-ovn	ha,parallel
periodic-ci-openshift-hypershift-release-4.20-periodics-e2e-aks	hypershift-aks	ha,parallel
